Nama Jabatan,Instansi Pengampu,Level Pemerintahan,,,,,,,,
Direktur Jenderal Otonomi Daerah,Tertentu (Kemendagri),Pemerintah Pusat,,,,,,,,
Direktur Jenderal Pendidikan Anak Usia Dini dan Pendidikan Dasar dan Pendidikan menengah,Tertentu (Kementerian Pendidikan dan Kebudayaan),Pemerintah Pusat,,,,,,,,
"Direktur Kawasan, Perkotaan dan Batas Negara",Tertentu (Kemendagri),Pemerintah Pusat,,,,,,,,
Direktur Keuangan dan Umum Rumah Sakit Umum Pusat,Tertentu (Kementerian Kesehatan),Pemerintah Pusat,,,,,,,,
Direktur Keuangan Rumah Sakit,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Direktur Optimalisasi Jaringan Logistik dan Peralatan,Tertentu (Badan Nasional Penanggulangan Bencana),Pemerintah Pusat,,,,,,,,
"Direktur Pelayanan Medik, Keperawatan dan Penunjang Rumah Sakit Umum Pusat",Tertentu (Kementerian Kesehatan),Pemerintah Pusat,,,,,,,,
Direktur Pendidikan Tinggi,Tertentu (Kementerian Pendidikan dan Kebudayaan),Pemerintah Pusat,,,,,,,,
"Direktur Pengaturan dan Pendaftaran Hak Tanah, Ruang dan PPAT",Tertentu (Kementerian Agraria dan Tata Ruang),Pemerintah Pusat,,,,,,,,
"Direktur Pengawasan dan Pengendalian Bidang Formasi, Pengadaan dan Pasca Diklat",Tertentu (Badan Kepegawaian Negara),Pemerintah Pusat,,,,,,,,
Direktur Pengembangan Pasar Dalam Negeri,Tertentu (Kementerian Perdagangan),Pemerintah Pusat,,,,,,,,
Direktur Pengembangan Produk Eskpor,Tertentu (Kementerian Perdagangan),Pemerintah Pusat,,,,,,,,
Direktur Pensiun Pegawai Negeri Sipil dan Pejabat Negara,Tertentu (Badan Kepegawaian Negara),Pemerintah Pusat,,,,,,,,
"Direktur Perencanaan, Keuangan, dan Barang Milik Negara Rumah Sakit Jiwa",Tertentu (Kementerian Kesehatan),Pemerintah Pusat,,,,,,,,
Direktur RSUD,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Direktur Sekolah Dinas Luar Negeri (Sekdilu),Tertentu (Kemenlu),Pemerintah Pusat,,,,,,,,
"Direktur Sumber Daya Manusia, Pendidikan, dan Penelitian Rumah Sakit Umum",Tertentu (Kementerian Kesehatan),Pemerintah Pusat,,,,,,,,
"Direktur Sumber Daya Manusia, Pendidikan, dan Umum Rumah Sakit Jiwa",Tertentu (Kementerian Kesehatan),Pemerintah Pusat,,,,,,,,
Direktur Survei dan Pemetaan Tematik,Tertentu (Kementerian Agraria dan Tata Ruang),Pemerintah Pusat,,,,,,,,
Direktur Toponimi dan Batas Daerah,Tertentu (Kemendagri),Pemerintah Pusat,,,,,,,,
